title,score,members,favorites
Egao no Hana,5.75,753,1
Kaiba,8.24,77549,2213
Rokujouma no Shinryakusha!?,6.75,4533,8
Days (TV): Touin Gakuen-sen!,7.29,13337,50
Bakusou Kyoudai Let&#039;s & Go MAX,6.68,2059,12
Joshikousei: Girl&#039;s High Specials,6.58,3329,3
Crayon Shin-chan Movie 17: Otakebe! Kasukabe Yasei Oukoku,6.89,1369,0
Robin-kun to 100 nin no Otomodachi Season 2,4.67,109,1
Peeping Life: The Perfect Evolution,5.46,405,0
Shin Takarajima,5.51,173,0
Tennis no Ouji-sama Movie 1: Futari no Samurai - The First Game,7.44,15844,43
Kaitou Jigoma Ongaku-hen,4.52,127,0
Itsumademo Tabibito,5.41,280,0
Yoroiden Samurai Troopers,7.19,12754,146
Koakuma Kanojo The Animation,7.37,10585,98
ViVid Strike! Specials,6.8,3869,7
Green Green OVA,6.09,23377,10
Kotatsu Neko (ONA),5.85,810,1
Yurumates 3D OVA,6.19,1290,1
Mame-Mofu Collab Animation,5.53,227,0
Yarichin☆Bitch-bu,0.0,2812,24
I Was King,6.4,377,0
Dennou Boukenki Webdiver,7.12,1243,16
Yuusha Exkaiser,6.57,973,3
Radiant,0.0,3456,8
Pokemon: Meloetta no Kirakira Recital,6.62,5144,2
Hakuouki,7.54,111561,1824
Mori no Ongakukai,6.0,169,0
Sushi Police,4.73,10383,16
Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!!,6.27,60859,53
Jungle de Ikou!,5.57,3901,5
Hand Maid Mai,6.13,2987,1
Mononoke Dance,5.09,747,0
Osaru no Sankichi: Totsugeki-tai,4.56,654,0
Penguin Musume♥Heart,6.82,13479,18
Toshokan Sensou,7.56,47015,335
Kyouryuu Daisensou Aizenborg,6.92,570,7
Maicching Machiko-sensei,6.51,1442,3
"Tari Tari: Kumottari, Kagayaitari, Mata Itsuka Utattari",6.83,4912,1
Taiho Shichau zo: Full Throttle,7.28,5975,4
Code Geass: Hangyaku no Lelouch R2 Special Edition Zero Requiem,7.91,29458,101
Ghost in the Shell,8.35,329663,7755
Sazae-san: Dawn to Ikka de Hawaii Ryokou,6.12,196,0
Ozmafia!! Special,5.71,1142,2
Shin Maple Town Monogatari: Palm Town-hen,7.01,825,3
Durarara!!x2 Ten,8.1,196117,590
Miyakawa-ke no Kuufuku,6.56,16128,22
Kremlin,5.28,580,0
Shoujo Auction,6.08,1526,2
D-Fang!: Water!!,7.44,38520,24
Gunslinger Stratos,6.15,3321,3
Seishun Anime Zenshuu Specials,5.53,109,0
DD Hokuto no Ken 2 Ichigo Aji+,5.96,2168,2
Futatsu no Sekai,5.53,86,0
Time Bokan Series: Yatterman,6.74,3400,16
Saru Kani Gassen (Yokoku),3.12,85,0
Pokemon: Pikachu no Natsuyasumi,6.84,23976,11
It&#039;s a Rumic World: 50th Anniversary Weekly★Shonen Sunday,6.99,2528,6
Hinomaru Hatanosuke: Bakemonoyashiki no Maki,4.8,709,1
Noisy Birth,4.88,3788,0
Yaruki Manman,5.19,389,2
Boku to Misaki-sensei,6.99,4234,58
Enoshimans,5.13,103,0
Monkey Punch: Manga Katsudou Daishashin,7.2,996,3
After... The Animation,5.83,5408,43
Kaze no Tani no Nausicaä,8.47,188165,2525
Sky Girls OVA,6.69,6049,3
Feng Ji Yun Nu,5.35,198,0
Parasol Life,3.39,38,0
Ikusa Otome Valkyrie Specials,5.68,1222,2
Hana no Mahoutsukai Mary Bell,6.66,1374,5
Koi☆Sento,6.51,5638,2
Shin Gakkou no Yuurei,5.0,121,0
Space Cobra Pilot,6.64,1142,0
Injuu Nerawareta Hanayome,5.5,1121,4
Inferno Cop: Fact Files,5.46,6075,2
Merc Storia,0.0,644,0
Honoo no Haramase Tenkousei,6.86,6361,27
Honoo no Tenkousei,6.74,3579,6
Boku wa Imouto ni Koi wo Suru,6.49,31480,106
Zero Sum Game: Sex Crime,5.25,1456,4
Shikabane Hime: Aka,7.34,85021,206
Super Robot Taisen OG The Animation,6.75,2941,9
Salaryman Kintarou,7.59,5266,24
Lupin III: Part III,7.45,9404,10
Gakuen Utopia Manabi Straight! Special,7.18,5291,1
Black★Rock Shooter (TV),7.0,245436,1852
Thermae Romae x TOTO Collaboration,6.15,563,0
Bi-Indoushi Miija: Injoku no Gakuen,5.34,1415,4
Houseki no Kuni (TV),8.48,129354,2995
Saru Getchu: On Air,6.38,766,5
Myself; Yourself,7.34,135562,764
Tongari Boushi no Memole: Marielle no Housekibako,6.23,284,0
Shimai Ijiri,5.89,1023,2
Boku wa Sonzai Shiteinakatta,5.8,341,0
Cutey Honey,6.59,9391,30
"Tamayura: More Aggressive - Tsuitachi dake no Shuugakuryokou, Nanode",7.49,3463,1
Shin Shounan Bakusouzoku Arakure Knight,5.5,171,0
Why Re-Mix 2002,4.02,199,0
Perrine Monogatari Movie,6.44,194,0
Shelter,8.41,158435,1725
Code:Realize - Sousei no Himegimi,6.67,44776,161
Hayate no Gotoku! Heaven Is a Place on Earth,7.24,26562,44
Chameleon (OVA),6.54,921,1
Kininaru Kimochi,6.2,2447,8
Taiyou no Hou: El Cantare e no Michi,5.48,465,0
Ookiku Furikabutte: Natsu no Taikai-hen – Mokuhyou,7.5,5622,4
Kyojin no Hoshi: Ike Ike Hyuuma,6.09,158,0
Cyborg 009: Call of Justice 1,6.46,2487,1
Appleseed XIII Remix Movie 1: Yuigon,6.61,2983,3
K: Seven Stories Movie 5 - Memory of Red - Burn,0.0,893,2
Bikyaku Seido Kaichou Ai,6.61,2859,13
Lupin the IIIrd: Chikemuri no Ishikawa Goemon,7.85,11664,27
Norakuro Nitouhei,5.38,169,0
Pink Mizu Dorobou Ame Dorobou,5.4,646,0
Steamboy,7.42,50418,121
Aimai Elegy,6.71,2140,3
Tonagura!,6.83,35882,43
Ange Vierge,6.13,31979,60
Kowaku no Toki,6.18,6213,45
Yume,5.07,309,0
Sansha Sanyou,7.18,40080,90
Acerola-chan,4.61,131,0
Shiawase no Tokei,4.41,108,0
Mazinkaiser SKL,7.12,8151,33
Itsuka Tenma no Kuro Usagi Special,6.51,4198,2
Sora wo Miageru Shoujo no Hitomi ni Utsuru Sekai,7.22,29239,101
"Hetalia Axis Powers Movie: Paint it, White",7.4,43232,305
Yu☆Gi☆Oh! VRAINS,6.77,16968,114
Myself ; Yourself Specials,6.81,5157,1
Chihayafuru 2: Waga Mi Yo ni Furu Nagame Seshi Ma ni,7.09,23181,21
Ano Ko to Ii Koto,6.9,4660,21
Bayonetta: Bloody Fate,6.73,28143,52
Muumin,7.12,2818,13
Log Horizon Recap,6.86,13287,10
Pia Carrot e Youkoso!!,6.14,2417,2
Hi Gekiga Ukiyoe Senya Ichiya,2.27,265,1
R-15,6.63,65825,76
Dragon Ball Z: Summer Vacation Special,6.9,6411,3
Custom Reido,5.24,1322,2
Tsurikichi Sanpei,7.15,2261,7
Makiba no Shoujo Katri,6.92,1515,5
Oretachi ni Tsubasa wa Nai: Under the Innocent Sky.,6.82,62593,144
Kujakuou: Sengoku Tensei,5.19,280,0
Otoko no Ko Ojousama,6.22,2184,6
Kikansha Sensei,6.15,125,0
Nendo no Tatakai 2,3.25,1345,1
Dragon Ball Movie 1: Shen Long no Densetsu,7.01,37474,29
Uta Kata,6.82,18615,69
Magical★Taruruuto-kun: Sukisuki Takoyaki!,6.83,146,0
Ai Shimai 2: Futari no Kajitsu,6.59,6153,28
Tonde Mon Pe,6.95,167,0
Yoroshiku Mechadock,6.61,608,1
Magical Twilight,6.06,1233,2
Mao Yu Tao Hua Yuan,7.67,456,0
Hininden: Gauss,5.84,1496,2
I&#039;&#039;s Pure Bonus,6.57,5138,2
Durarara!! Specials,8.0,120575,184
Terra e... (TV),8.02,43368,832
Menghuan Xiyou 2,5.75,69,1
Akuma no Riddle,6.78,167369,853
Kikou Souseiki Mospeada,7.21,5384,35
Master of Torque: Epilogue,4.69,189,0
Kanimanji Engi,5.46,182,0
Narutaru: Mukuro Naru Hoshi Tama Taru Ko,6.19,22348,55
Infini-T Force Movie: Gatchaman - Saraba Tomo yo,5.88,1103,0
Dragon Ball: Super Saiya-jin Zetsumetsu Keikaku,6.96,21057,14
Danchi Tomoo,6.24,645,1
Green Dakara x Bakemono no Ko,5.21,1988,3
Urahara,5.89,22248,34
Tetopettenson,4.88,125,0
Reijoku no Yakata,6.19,2191,3
Mameshi-Pamyu-Pamyu,5.5,216,0
Dibetagurashi: Ahiru no Seikatsu - Ahiru no Sumu Shima,6.17,76,0
Ribbon,5.59,166,0
Kurage no Shokudou,6.28,10228,9
Hiiro no Kakera,6.87,69953,351
Oniisama e...,7.85,16539,354
Glass no Kamen Desu ga,5.53,966,1
Lupin Shanshei Pilot,5.69,371,0
Kamen Rider Den-O: Imagin Anime 2,6.77,565,2
"""0""",4.83,2028,1
Utsukushii Hoshi,5.19,186,1
Binetsu Hime: Zange no Shou,5.02,587,1
Afro Samurai Pilot,6.81,4850,6
Mahou no Princess Minky Momo: Yume no Naka no Rondo,6.67,928,4
Choujin Locke: Mirror Ring,5.68,501,0
Sakura Nagashi,7.16,3837,13
Ero Semi: Ecchi ni Yaruki ni ABC - The Animation,6.72,2671,9
Shining☆Romance,6.93,404,4
Nintama Rantarou no Shouboutai,6.54,118,0
Mahou Shoujo Pretty Sammy (1996),6.84,4358,16
Evil or Live Recap,5.2,2282,1
Doraemon Movie 04: Nobita no Kaitei Kiganjou,7.25,1690,1
Arc the Lad,6.6,11918,16
Saint Beast: Seijuu Kourin-hen,6.05,6884,12
Bungou Stray Dogs: Dead Apple,7.91,23983,81
Seton Doubutsuki,6.89,290,1
Francesca,5.57,7396,7
Shiiku x Kanojo: Tenshi no Kousoku-hen,5.72,3575,19
Sengoku Majin Goushougun: Toki no Etranger,6.79,1528,6
Ano Hi no Kanojo-tachi,7.2,148,0
The Baby Birds of Norman McLaren,5.17,296,0
Momoiro Bouenkyou Anime Edition,5.76,1483,9
Gintama x Mameshiba,6.92,7373,45
Strange+ Special,5.89,1533,0
Hayabusa: Back to the Earth,5.65,157,0
Akame ga Kill! Recap,6.89,17974,32
Microid S,6.0,241,0
Kamiusagi Rope,5.59,238,0
Bishoujo Mobage: Mobami-chan,5.41,1308,2
Ai City,5.82,3010,8
Detective Conan Movie 08: Time Travel of the Silver Sky,7.98,9848,4
Majimoji Rurumo,6.91,47521,48
Aoki Densetsu Shoot!,7.49,8583,58
SF Saiyuuki Starzinger,7.21,1501,15
Robotics;Notes,7.4,130220,528
Nanami-chan 3rd Series,6.41,374,0
dwarf Movie Lab,3.91,80,0
Kino no Tabi: The Beautiful World - Tou no Kuni,7.67,25644,16
Himeyuri,6.52,568,0
Shounen Ashibe 2,5.22,215,0
Planet With,0.0,828,2
Haitai Nanafa 2nd Season,6.09,2520,1
Bouken Shounen Shadar,6.06,267,0
Hibike! Euphonium Movie: Kitauji Koukou Suisougaku-bu e Youkoso,7.45,12580,12
Watashi no Ashinaga Ojisan,7.93,7625,77
Mahou Shoujo Pretty Sammy,6.47,4991,12
Anime Document: München e no Michi,5.86,160,1
Kangoku Senkan,7.08,6154,134
Captain Earth,6.47,50722,71
Committed RED,5.7,244,0
Sukitte Ii na yo.: Dareka ga,7.36,36393,25
Mizuki Shigeru no Toono Monogatari,6.45,181,0
Xi Yang Yang Yu Hui Tai Lang: Zhi Hu Hu Sheng Wei,5.72,200,0
Genki Genki Non-tan: Deka Deka Arigatou,7.17,72,0
Saki Biyori Animation,6.79,2243,3
Kiddy Grade: Ignition,7.13,3828,5
Rurouni Kenshin DVD-BOX Special Ending,7.89,11795,60
Wakaba*Girl: Onsen Tsukaritai,6.99,5663,3
Ryuusei Tenshi Primaveil,5.4,771,0
.hack//Gift,6.29,16973,24
Suteki Tantei Labyrinth,6.86,7322,13
Hikaru no Gen-chan,4.24,81,0
Mahou Shoujo Isuka,6.44,3362,17
Charlotte,7.92,531982,9561
Sugar Bunnies Chocolate! Specials,6.25,96,0
Fullmetal Alchemist: Brotherhood Specials,8.1,88422,167
Doraemon Movie 37: Nobita no Nankyoku Kachikochi Daibouken,7.46,809,3
Summer Train!,5.53,374,1
Wansa-kun,6.18,296,0
Natsumushi The Animation,6.66,3900,11
Sekai Monoshiri Ryoko,6.09,244,0
Towa no Quon 3: Mugen no Renza,7.6,24007,16
Aria The Origination Picture Drama,7.21,8034,9
Doraemon: 2112-nen Doraemon Tanjou,7.36,1711,5
Mottainai,6.56,3026,6
3Ping Lovers!☆Ippu Nisai no Sekai e Youkoso♪ The Animation,7.07,6334,61
Play Ball 2nd,6.26,270,0
Tottoko Hamtarou no Tottoko Daijida!! Bousai Kunren,5.79,237,0
Shikatte Ingo: Misaki Shunin no Buka Kyouiku-hen,5.69,1701,4
Binan Koukou Chikyuu Boueibu LOVE! LOVE! LOVE!,6.85,4092,11
K: Seven Stories Movie 4 - Lost Small World - Ori no Mukou ni,0.0,906,3
Mobile Suit Gundam 0083: Stardust Memory,7.42,24951,186
Spirit of Wonder: Shounen Kagaku Club,6.78,2066,1
Yuru Yuri Nachuyachumi!,7.95,40832,113
Satsujinkyou Jidai,4.75,770,0
Wake Up! Dodo,5.51,224,0
Youtai Nuhai Zai Shanghai,6.17,166,0
Instant Music,4.76,301,0
Four Seasons: Fuuka to Nanami,5.22,654,2
Tsubasa: Shunraiki,8.21,46128,281
Michi,7.36,259,2
Sin: The Movie,5.22,3594,1
Usagi-chan de Cue!!,5.76,3851,5
Mahoutsukai Tai! OVA,7.22,5389,18
Ani x Para,5.77,52,0
Yariman Fudousan,6.02,1961,4
Tom Sawyer no Bouken,7.15,3285,15
Words Worth Gaiden,5.93,2869,11
Guitar Shoujo!,5.04,213,0
Mu Di,5.87,264,0
Jam the Housnail,7.22,78,0
Fumikiri Jikan,6.33,14214,6
Hikari no Megami,6.66,3726,7
Shin Choubakumatsu Shounen Seiki Takamaru,5.13,116,0
Zuo Ri Qing Kong,0.0,946,0
Gunparade March: Arata Naru Kougunka,6.9,11477,22
Kaze no Shoujo Emily,7.54,3793,9
Lupin III: Kiri no Elusive,6.99,3329,0
Toki wa Meguru: Tokyo Station,6.68,3541,4
Bouken Gabotenjima,5.79,216,0
Kabi Usagi: Kaichuu,3.83,83,0
Gakkou no Kaidan,7.73,64405,638
Tokyo Underground,6.7,20940,36
Queen&#039;s Blade: Rebellion,6.46,26982,43
Ikkitousen,6.57,104389,391
Kugutsu Ai: Doura Gaiden,5.49,405,0
Shuukaku no Yoru,6.11,1935,8
Abunai Sisters: Koko & Mika,2.61,2572,19
Neeko ga Vtuber Shite Mita,5.03,217,0
Aikatsu!: Dai Starmiya Ichigo Matsuri Zenyasai!!,6.77,966,1
Silent Möbius 2,6.36,1980,1
Under World,5.1,302,0
Kaibutsu Oujo: Konsui Oujo,7.08,8405,9
Nanatsu no Umi no Tico Specials,6.55,220,0
Kobayashi ga Kawai sugite Tsurai!!,6.36,6186,3
Inferno Cop,7.34,58002,721
Higurashi no Naku Koro ni,8.1,452086,15819
Sasuga no Sarutobi,6.66,688,1
Suteneko Tora-chan,5.79,822,0
Jewelpet Kira☆Deco!,6.84,1985,15
Mankitsu Happening,7.88,17604,336
Dragon Ball Kai (2014),7.92,70673,443
Pokemon: Mizu no Miyako no Mamorigami Latias to Latios,7.29,55636,76
Ai Shimai: Futari no Kajitsu,6.59,7578,30
Sengoku Musou: Sengoku Musou High School,6.37,1044,0
Kuroko no Basket,8.37,483829,15372
One Room Special,5.38,6642,5
Elsword: Ain-ui Gieog Animation,6.47,1853,1
Chi-Sui Maru Specials,5.33,128,0
Shabura Rental: Ecchi na Oneesan to no Eroero Rental Obenkyou The Animation,6.9,3174,24
Black Bullet: Tenchuu＊Girls,6.18,10555,1
Nisekoi:,7.5,280967,1083
Daimajuu Gekitou: Hagane no Oni,5.35,1508,1
Kimi ga Aruji de Shitsuji ga Ore de,7.29,80333,206
Kore wa Zombie Desu ka?,7.59,387560,2923
Whistle! (ONA),6.0,628,1
Shimajirou Hesoka,6.14,139,0
Suzuka,7.32,80513,629
Futari no Aniyome,6.42,2372,4
Kinkyuu Hasshin Saver Kids,6.47,337,1
Houkago Midnighters,6.37,966,0
Tetsuwan Atom: Ao Kishi no Kan,6.0,433,0
Sigh,3.33,71,0
Rinne no Lagrange: Kamogawa Memoria,6.47,2148,0
Tsuru Shitae Waka Kan,5.0,291,0
Nakedyouth,6.05,4991,12
Kotowa Jiten: Hetana Teppou mo Kazu Ucha Ataru!,4.64,78,0
Dokkiri Doctor Special,6.2,184,0
Nagareboshi Lens,6.75,15043,21
Peeping Life Specials,4.95,333,0
Hidamari Sketch x SP,7.84,9489,7
Hatsune Miku: Hiyashite Narasou Okashi no Ii Oto,5.78,1273,2
Garon,5.76,305,1
Tenkousei wa Uchuujin,4.32,88,0
Kure-nai,7.46,68437,221
Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,7.79,309650,3219
Calimero,6.27,2707,4
Red Colored Bridge,3.64,629,1
Koihime†Musou OVA,6.71,8468,4
Library Cross Infinite,0.0,500,0
Ai Shimai Tsubomi... Kegashite Kudasai,6.17,4578,21
Digimon Adventure,7.88,233529,3625
Air,7.42,215538,2547
Hoero! Bun Bun,6.4,404,1
Centaur no Nayami,6.57,47237,79
Hachigatsu Kokonoka Nagasaki,5.0,31,0
Yawaraka Sangokushi Tsukisase!! Ryofuko-chan,6.48,3917,10
Mamotte! Lollipop,6.92,14427,113
Kimi to Boku. 2,8.07,54856,305
Paul no Miracle Daisakusen,6.59,518,1
Sunoharasou no Kanrinin-san,0.0,5545,8
Ikeike! Momon-chan Specials,5.4,372,0
Prison School,7.91,382498,3527
Kemono to Chat,6.19,1349,1
Kingsglaive: FFXV Fan Kansha Tokubetsu Movie,5.95,1149,0
Mainichi JK Kikaku,0.0,2014,1
Karo to Piyobupt: Ouchi,5.15,445,1
Oshiri Kajiri Mushi (TV) 3rd Season,5.41,419,0
Soutai Sekai,6.11,3240,5
Bishoujo Senshi Sailor Moon SuperS Gaiden: Ami-chan no Hatsukoi,7.36,16988,16
Fashion no Hajimari,4.53,492,0
Bastard!!: Ankoku no Hakaishin,6.87,24143,116
Macross F: Choujikuu Gekijou,6.59,2511,0
Arslan Senki (TV): Fuujin Ranbu,7.62,82173,131
Kuro Nyago,5.51,2331,5
Vampire Knight: Guilty,7.45,235494,3125
Rin x Sen + Ran -> Sem: Cross Mix,7.14,5419,65
Lulin Da Maoxian,5.33,98,0
IDOLiSH7 Vibrato,7.66,1887,10
Mobile Suit Gundam,7.87,66929,1342
Urmă (Zanzou),5.12,190,0
Yumekui Shirokuro Baku,3.4,18,0
Sagurare Otome The Animation,6.3,2373,8
Wellber no Monogatari: Sisters of Wellber Zwei,6.94,3549,2
Space Adventure Cobra,7.18,4801,26
Corrector Yui,6.9,9206,35
Kujira (1952),5.33,517,1
Armitage III: Dual-Matrix,6.97,12883,18
Requiem,5.3,2900,6
Zouressha ga Yatte Kita,5.36,132,0
Shuumatsu no Izetta,6.84,116135,231
Fate/Zero 2nd Season,8.66,500077,10953
Matsumotokiyoshi x Osomatsu-san,5.93,1110,1
Himekishi Olivia,6.61,3555,15
Naruto x UT,7.53,28961,79
Kaitei Shounen Marine,6.31,301,0
Are wa Dare?,5.54,171,0
Koutetsu Jeeg,7.21,1489,7
Shokupan Mimi Specials,5.5,260,0
BlazBlue: Alter Memory Specials,6.41,1910,5
Seiken Tsukai no World Break,7.15,149165,626
Curly,4.67,121,0
Chibi Maruko-chan,7.79,6212,62
Detective Conan: The Magician of Starlight,6.94,1167,0
Chinpui: Eri-sama Katsudou Daishashin,6.03,148,0
Seupideuwang Beongae,6.26,338,0
Submarine Super 99,6.41,932,1
Last Waltz: Hakudaku Mamire no Natsu Gasshuku,6.45,3559,12
Wonder (Movie),6.26,987,9
Hakujaden,6.23,2550,4
Kino no Tabi: The Beautiful World - The Animated Series,7.61,88622,410
La Vilaine LuLu,5.1,141,0
Geunyeoneun Yeppeotda,6.75,193,0
Kekkonshiki no Tori Movie,3.55,43,0
Nareuneun Dwaeji - Haejeok Mateo,4.29,99,0
Perfect Day,7.5,9023,15
Seikon no Qwaser Picture Drama,6.06,10933,6
Juusenki L-Gaim,6.91,2930,12
Usalullaby,4.96,189,0
Toufu Kozou,5.93,345,0
Starship Troopers: Invasion,6.79,3467,3
Soukou Kihei Votoms: The Last Red Shoulder,7.26,2334,2
Urusei Yatsura,7.75,34426,537
Be-Bop Highschool,7.34,2057,12
Hitori Shika Inai Jibun,3.0,36,0
Joukamachi no Dandelion,7.31,93349,306
Je T&#039;aime,6.69,4633,12
Wasurenagumo,7.17,24351,33
Black★Rock Shooter,7.21,49581,343
Ikenai Boy,4.84,310,1
Yuki no Yoru no Yume,5.32,198,0
Giant Killing,7.66,45089,294
1001 Nights,6.34,6502,15
Ikusa Otome Suvia Special,5.88,1629,2
Sekiei Ayakashi Mangatan,5.81,2897,4
Kiddy Grade: Truth Dawn,7.25,3529,4
Catch: Tsugi no Natsu ga Kuru You ni,3.33,44,0
Sei Shoujo Sentai Lakers EX,5.04,871,2
Kanojo ga Flag wo Oraretara,6.57,102567,162
Pokemon Best Wishes! Season 2: Decolora Adventure - Dent to Takeshi! Gyarados no Gekirin!!,6.83,4509,2
One Piece Film: Gold - Cine Mike Popcorn Kokuchi,6.07,1865,0
Souten no Ken Re:Genesis 2nd Season,0.0,856,1
Obatalian,5.08,101,0
Hi no Tori: Kizuna-hen,7.14,204,1
Chibikuro Sambo no Tora Taiji,7.22,106,0
Elite Banana Banao,6.46,298,1
Goddamn,5.97,997,6
Cheer Danshi!! Specials,6.23,1937,2
Onmyou Taisenki,7.26,4485,22
Oni Chichi,7.35,32384,462
Otoko to Onna to Inu,5.01,187,0
Ninpen Manmaru,6.37,184,0
Cornelis,5.35,267,0
Hayan Ma-eum Baeggu,6.62,477,1
Okusama ga Seitokaichou!: Okusama Gekijou,7.09,9944,16
Maria-sama ga Miteru Specials,7.51,6885,5
Avignon no Hashi de,4.99,294,1
Betterman,6.7,9811,68
Mahou no Tenshi Creamy Mami: Lovely Serenade,5.95,468,0
Saenai Heroine no Sodatekata: Ai to Seishun no Service-kai,7.06,63049,39
Hitorigurashi no Shougakusei,6.53,2254,6
Hiiro no Kakera: Totsugeki! Tonari no Ikemenzu,6.84,5649,9
Namanaka Hyaku Percent!: Katamusubi no Shinpa,6.88,3902,24
Koi to Uso,6.81,148412,627
Pokemon the Movie XY: Ring no Choumajin Hoopa,6.78,13503,33
Tensei Kendo no Harem Colosseo,6.74,3109,8
Bulg-eunmae,5.59,716,1
Seirei no Moribito,8.21,132922,2186
Machikado no Märchen,6.42,611,1
Jinzou Konchuu Kabutoborg VxV,6.54,296,2
Mouryou no Hako Special,6.73,5337,0
Timbre A to Z,4.85,316,0
Hanasaka Jijii,5.14,376,0
Nurse Witch Komugi-chan Magikarte Special,6.55,3821,1
Nyancos: Hello! Our Brilliant Future,3.54,124,0
Kara no Kyoukai Remix: Gate of Seventh Heaven,7.69,29526,55
Gondora,4.04,1126,0
Aikatsu!,7.44,22822,570
AKB0048: Next Stage,7.78,26279,305
B: The Beginning,7.66,77283,470
Hug tto! Precure,7.36,4381,18
Anime 80-nichikan Sekai Isshuu,6.85,2828,5
Mahoromatic Summer Special,7.22,8696,4
Future GPX Cyber Formula,7.49,3528,40
Ai Doll,5.89,2458,7
King of Prism: Pride the Hero,6.99,1868,9
Sweet Valerian Specials,5.84,686,0
Cybot Robocchi,6.13,226,0
Chou Shounen Tanteidan Neo,5.18,1988,2
Wooser no Sono Higurashi,6.31,9311,22
Cross Ange: Tenshi to Ryuu no Rondo,7.48,108767,957
Duel Masters Cross Shock,6.41,1243,0
Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Hashire! Ryoutsu-shiki Chinchin Densha,7.32,214,0
Asobou! Hello Kitty,6.35,777,6
Battle Royal High School,5.7,4046,14
Real Eroge Situation! The Animation,7.64,2092,12
Stratos 4: Logbook,6.44,1236,1
Shinkansen Henkei Robo Shinkalion,4.76,188,0
Tenamonya Voyagers,6.28,2462,4
Kirin Monoshiri Yakata,5.98,198,1
Manga Nippon Mukashibanashi (1976),6.37,619,2
Hwanggeum Cheolin,3.09,164,0
Tanoshii Willow Town,6.33,395,1
Calbee Hitokuchi Gekijou,4.0,85,0
Ushiro no Hyakutarou,5.88,133,0
Mahoutsukai Precure!,7.12,5933,38
Mizugi Kanojo: The Animation,7.44,11282,155
Otogi no Sekai Ryokou,6.14,115,0
Kekkai Sensen,7.73,370929,3732
Pokemon Advanced Generation,7.19,89367,304
My Life As,5.13,1057,1
Space☆Dandy 2nd Season Picture Drama,6.34,1752,5
1989,5.68,712,0
Astroganger,6.84,675,2
Fullmetal Alchemist: Premium Collection,7.42,50586,100
"Mobile Suit SD Gundam Musha, Knight, Commando",5.93,1080,0
Buddy Spirits,5.26,440,1
Natsu no Shisen 1942,4.58,243,1
Tiger Mask Nisei,7.43,3206,10
Kenpuu Denki Berserk,8.45,302027,12562
Boku to Gaku: Ano Natsu no Monogatari,6.57,129,0
Gi(a)rlish Number Shura,0.0,3984,0
Binetsukko ♭37℃ The Animation,6.12,2408,5
Gosenzo-sama Banbanzai!,7.36,3159,36
Pro Yakyuu wo 10-bai Tanoshiku Miru Houhou Part 2,4.64,88,0
Raiyantsuuri no Uta,7.39,786,2
X OVA,6.92,9379,2
Pokemon Best Wishes!,6.63,44997,144
Fight!!,5.16,715,2
Seifuku Shojo The Animation,6.4,3256,23
Kura Sushi,5.66,84,0
.hack//Liminality,6.69,26850,37
Mushishi Zoku Shou 2nd Season,8.83,118257,701
Aoi Yousei,4.97,565,0
Boy Meets Harem The Animation,7.27,7926,66
Trick or Alice,7.02,6212,11
Space Fantasia 2001 Nights,6.44,1700,1
Ryojoku no Rensa,6.11,2899,11
Kagirinaki Rakuen,6.14,127,0
Daitoshokan no Hitsujikai,7.04,67324,131
Dog Days Recap,6.69,3187,2
Mini Hama: Minimum Hamatora,6.46,2798,3
Norakuro Gochou,5.03,595,1
Oscar&#039;s Oasis,5.32,95,0
Cardcaptor Sakura Movie 1,7.72,67425,948
Kakushi Dere,7.1,4879,21
Aldnoah.Zero Extra Archives,6.91,9630,8
Gotou ni Naritai.,7.22,1496,4
UN-GO: Inga-ron,7.7,27577,28
Higurashi no Naku Koro ni Kai Specials,7.43,32871,127
Uchuu Show e Youkoso,7.46,15032,35
Ougon no Hou: El Cantare no Rekishikan,5.31,456,1
Senjou no Valkyria,7.71,94766,609
Log Horizon,8.09,556873,7505
Just Because!,7.41,131793,605
Shakugan no Shana S Specials,6.99,19993,7
The Choujo,6.13,1948,3
Tongari Boushi no Memole,7.04,1334,5
Colorful Ninja Iromaki,5.9,647,0
Kitakaze Kozou no Kantarou,5.24,314,0
Kuma no Gakkou: Jackie to Katie,5.6,200,0
Himitsukessha Taka no Tsume: Christmas Daisakusen,5.2,86,0
Bannou Bunka Neko-Musume,6.76,7113,19
Great Mazinger,7.29,2685,12
Binetsu: Yakusoku no Toki,5.06,440,0
Chou Denji Robo Combattler V,6.84,1746,6
Nogizaka Haruka no Himitsu: Purezza,7.27,52539,86
Slayers Special,7.45,14482,18
"Wake Up, Girls! Shichinin no Idol",7.22,17530,15
Grenadier: Hohoemi no Senshi Specials,6.63,4769,3
Itazura Majo to Nemuranai Machi,6.17,2050,3
Gundam Build Divers Prologue,6.59,2980,1
Hoshi no Orpheus,5.45,466,0
Detroit Metal City: Birth of the Metal Devil,7.39,18360,19
Dochamon Junior,4.91,137,0
Tabisuru Nuigurumi: Traveling Daru,7.38,3109,7
iDOLM@STER Xenoglossia,6.63,17418,30
Strike Witches OVA,6.31,20332,24
Two Car,5.7,14722,12
Kanojo wa Dare to demo Sex Suru.,6.84,4936,38
Dragon Ball,8.15,444597,8598
