title,type,source,episodes,airing,studio
Lupin III: Green vs. Red,OVA,Unknown,1,False,TMS Entertainment
Ling Qi,ONA,Web manga,20,False,Haoliners Animation League
Nae Ireumeun Dokgotak,Movie,Unknown,1,False,
GR: Giant Robo,TV,Unknown,13,False,A.C.G.T.
Drill,Movie,Original,1,False,
Namakura Gatana,Movie,Original,1,False,
Happy☆Lesson: Advance,TV,Manga,13,False,Studio Hibari
Rurouni Kenshin: Special Techniques,Special,Manga,1,False,Studio Gallop
Sore Ike! Anpanman: Lyrical☆Magical Mahou no Gakkou,Movie,Unknown,1,False,
Rokudou Juku,Special,Original,1,False,
Kozaru no Buranko,Movie,Picture book,1,False,
Future War 198X-nen,Movie,Unknown,1,False,Toei Animation
Shounen Hollywood: Holly Stage for 50,TV,Novel,13,False,Zexcs
Kumo ni Noru,OVA,Manga,2,False,J.C.Staff
Tennis no Ouji-sama: Oshougatsu Special,Special,Unknown,1,False,Production I.G
Densetsu Kyojin Ideon,TV,Original,39,False,Sunrise
Senyuu. Specials,Special,Web manga,4,False,Ordet
Baby Princess 3D Paradise 0 [Love],OVA,Light novel,1,False,Studio Comet
Kaibutsu-kun: Kaibutsu Land e no Shoutai,Movie,Unknown,1,False,Shin-Ei Animation
Maid Ane,OVA,Manga,2,False,Y.O.U.C
"Ore ga Ojousama Gakkou ni ""Shomin Sample"" Toshite Gets♥Sareta Ken",TV,Light novel,12,False,Silver Link.
Kaeru San Yuushi,Movie,Original,1,False,
Love Bitch: Yasashii Onna,OVA,Manga,1,False,
Rokujouma no Shinryakusha!? (TV),TV,Light novel,12,False,Silver Link.
Taiyou no Yuusha Fighbird,TV,Unknown,48,False,Sunrise
Tsubu★Doll,OVA,Original,5,False,
Kurutta Kyoutou: Danzai no Gakuen,OVA,Visual novel,1,False,
Hey! Bumboo,TV,Unknown,130,False,Nippon Animation
Eureka Seven AO: Aratanari Fukaki Ao,ONA,Original,10,False,Bones
From Osaka with Cheer!,ONA,Unknown,4,False,
Nurse Angel Ririka SOS,TV,Manga,35,False,Studio Gallop
Eien no Aselia,OVA,Visual novel,2,False,
Nama Lo Re: Namakemono The Animation,OVA,Manga,1,False,
MTV Ident: Horny,Special,Original,1,False,
Osakana wa Ami no Naka,OVA,Manga,1,False,J.C.Staff
Sore Ike! Anpanman: Rhythm de Teasobi - Anpanman to Fushigi na Parasol,Movie,Picture book,1,False,TMS Entertainment
Yuri!!! on Ice: Yuri Plisetsky GPF in Barcelona EX - Welcome to The Madness,Special,Original,1,False,MAPPA
Ai no Kusabi (2012),OVA,Light novel,4,False,AIC
Monster Strike: Zoku Saishuu-banashi - Pandora no Hako,ONA,Game,1,False,
Urusei Yatsura OVA,OVA,Manga,11,False,Madhouse
Love² Police,OVA,Unknown,1,False,
Eiyuu Densetsu: Sora no Kiseki The Animation,OVA,Game,2,False,Kinema Citrus
Kidou Senshi Gundam Narrative,Movie,Novel,1,False,
Magical Moe,OVA,Original,1,False,Blue Cat
Ame-iro Cocoa: Rainy Color e Youkoso!,TV,Digital manga,12,False,EMT²
Residence,OVA,Manga,0,True,
Kareshi Kanojo no Jijou,TV,Manga,26,False,Gainax
Senkou no Night Raid Specials,Special,Original,3,False,A-1 Pictures
One Piece Movie 8: Episode of Alabasta - Sabaku no Oujo to Kaizoku-tachi,Movie,Manga,1,False,Toei Animation
An Expression,Movie,Original,1,False,
Gakkyuu Ou Yamazaki Specials,Special,Unknown,2,False,
Ancien to Mahou no Tablet: Mou Hitotsu no Hirune Hime,ONA,Original,2,False,Signal. MD
Mikagura Gakuen Kumikyoku (TV),TV,Light novel,12,False,Doga Kobo
The Kabocha Wine: Nita no Aijou Monogatari,Movie,Unknown,1,False,Toei Animation
IDOLiSH7 Tokubetsu Bangumi: Kimi to Furikaeranaito!,Special,Game,1,False,TROYCA
Gintama°: Aizome Kaori-hen,OVA,Manga,2,False,Bandai Namco Pictures
Norakuro Ittouhei,Movie,Manga,1,False,
Commercial War,Movie,Original,1,False,
Mina no Egao,OVA,Unknown,1,False,
Mai-HiME Specials,Special,Original,27,False,Sunrise
Guilty Crown: Lost Christmas,OVA,Original,1,False,Production I.G
Jigoku Shoujo Mitsuganae,TV,Original,26,False,Studio Deen
Haja Kyosei G Dangaiou,TV,Unknown,13,False,
Boku no Hero Academia The Movie: Futari no Hero,Movie,Manga,1,False,Bones
Deltora Quest,TV,Book,65,False,OLM
Doraemon Movie 15: Nobita to Mugen Sankenshi,Movie,Unknown,1,False,
Dorami-chan: A Blue Straw Hat,Movie,Unknown,1,False,
Hime Chen! Otogi Chikku Idol Lilpri (2011),TV,Unknown,51,False,Telecom Animation Film
Nukko.,TV,Original,24,False,Kachidoki Studio
Qingwa Wangguo: Zhi Bingdong Da Maoxian,Movie,Original,1,False,
Hitsugi no Chaika,TV,Light novel,12,False,Bones
Clannad Movie,Movie,Visual novel,1,False,Toei Animation
Tanin no Kankei,OVA,Manga,2,False,J.C.Staff
Ojamajo Doremi Na-i-sho,OVA,Unknown,13,False,Toei Animation
Ninja Hattori-kun,TV,Manga,694,False,Shin-Ei Animation
UQ Holder!: Mahou Sensei Negima! 2,TV,Manga,12,False,J.C.Staff
Monotonous Purgatory,Music,Unknown,1,False,
Seme♥Chichi,OVA,Manga,2,False,
Zombie-Loan,TV,Manga,11,False,Xebec
R.O.D OVA,OVA,Light novel,3,False,Studio Deen
Pokemon XY: Koukoku no Princess Diancie,Special,Game,1,False,OLM
Majime ni Fumajime Kaiketsu Zorori,TV,Unknown,97,False,Ajia-Do
Washimo,TV,Picture book,10,False,Studio Deen
Amagami SS+ Plus,TV,Visual novel,13,False,AIC
Chinka,Special,Original,1,False,
Keraku-No-OH King of Pleasure,OVA,Visual novel,3,False,
Huyao Xiao Hongniang: Qian Yan,ONA,Manga,15,False,Haoliners Animation League
Sougiya to Inu,Movie,Unknown,1,False,
Inazuma Eleven Go: Galaxy,TV,Game,43,False,OLM
Ukare Violin,Movie,Original,1,False,
Solty Rei,TV,Original,24,False,Gonzo
Toumei Ningen (OVA),OVA,Original,2,False,
Natsu-iro no Sunadokei,OVA,Visual novel,2,False,
Akuemon,OVA,Manga,1,False,Tezuka Productions
Natsuyasumi.,ONA,Original,3,False,Studio 9 MAiami
Tenchi Muyou! Ryououki 2nd Season Picture Drama,Special,Original,1,False,
Crayon Shin-chan Movie 21: Bakauma! B-Kyuu Gourmet Survival Battle!!,Movie,Manga,1,False,Shin-Ei Animation
Aquarion Logos,TV,Original,26,False,Satelight
Tales of Gekijou,Special,Game,5,False,Sunrise
Shinken Seminar Koukou Kouza,ONA,Unknown,1,False,Manglobe
Owarimonogatari,TV,Light novel,12,False,Shaft
Hakumei to Mikochi: Neji to Bed to Irori to Bakuchi,Special,Manga,1,False,Lerche
Tales of Zestiria: Doushi no Yoake,Special,Game,1,False,ufotable
Nana Moon,TV,Original,52,False,
Doraemon Movie 07: Nobita to Tetsujin Heidan,Movie,Manga,1,False,
Futari Daka,TV,Manga,36,False,Kokusai Eigasha
Cream Lemon,OVA,Original,38,False,
Kidou Keisatsu Patlabor: New OVA,OVA,Original,16,False,Sunrise
Teekyuu 2 Specials,Special,Manga,2,False,MAPPA
Rockman.EXE Axess,TV,Unknown,51,False,Xebec
Hikaru no Go: Tokubetsu-hen - Sabaki no Ichikyoku! Inishie no Hana yo Sake!!,OVA,Manga,1,False,Studio Pierrot
Hello Kitty no Nagagutsu wo Naita Neko,OVA,Unknown,1,False,
Marvel Disk Wars: The Avengers,TV,Unknown,51,False,Toei Animation
Mobile Suit Gundam 0080: War in the Pocket,OVA,Original,6,False,Sunrise
Kamisama no Memochou,TV,Light novel,12,False,J.C.Staff
Soccer Fever,TV,Unknown,51,False,
Glass no Kamen Desu ga to Z Specials,Special,Manga,2,False,
Detective Conan OVA 05: The Target is Kogoro! The Detective Boys&#039; Secret Investigation,OVA,Manga,1,False,TMS Entertainment
Seikimatsu Leader Gaiden Takeshi!,Special,Unknown,1,False,
Beppu x Peeping Life,ONA,Unknown,1,False,
Crusher Joe OVA,OVA,Light novel,2,False,Sunrise
Cinderella Boy,TV,Manga,13,False,
Masaru Ashita no Yukinojou 2,OVA,Visual novel,2,False,
Panda-Z: The Robonimation,TV,Unknown,30,False,
Sanctuary,OVA,Manga,1,False,Pastel
Sengoku Choujuu Giga: Kou,TV,Original,13,False,ILCA
Shounen Ashibe: Go! Go! Goma-chan 2,TV,4-koma manga,32,False,Bridge
Sexfriend,OVA,Visual novel,2,False,
Valkyrie Choukyou Semen Tank no Ikusa Otome 10-nin Shimai,OVA,Visual novel,2,False,PoRO
"Dr. Slump Movie 02: ""Hoyoyo!"" Uchuu Daibouken",Movie,Manga,1,False,Toei Animation
Haja Taisei Dangaiou,OVA,Original,3,False,AIC
Highway Jenny,OVA,Original,1,False,Toei Animation
Rainbow no Anime Bako,Special,Unknown,1,False,
Himitsukessha Taka no Tsume The Movie 3: http://takanotsume.jp wa Eien ni,Movie,Original,1,False,DLE
Tantei Opera Milky Holmes Dai 2 Maku,TV,Card game,12,False,J.C.Staff
Q Transformers: Kaette Kita Convoy no Nazo,TV,Unknown,13,False,DLE
Huyao Xiao Hongniang: Wangquan Fugui,ONA,Manga,14,False,Haoliners Animation League
Detective Conan: A Written Challenge from the Pyramids!,OVA,Unknown,1,False,
Precure All Stars Movie: Haru no Carnival♪ - Ima Koko kara,Music,Original,1,False,Toei Animation
Great Rabbit,Movie,Original,1,False,
Bunna yo Ki kara Orite Koi,Movie,Unknown,1,False,
Youyou no Neko Tsumami,TV,Unknown,130,False,
Generation of Chaos Next: Chikai no Pendant,OVA,Game,1,False,
Soukou Kihei Votoms: Pailsen Files the Movie,Movie,Unknown,1,False,
Love Position: Halley Densetsu,OVA,Unknown,1,False,
Jigoku de Naze Warui,Music,Music,1,False,
Urameshi Denwa,Movie,Original,1,False,
Tatakae! Chou Robot Seimeitai Transformers,TV,Unknown,98,False,Toei Animation
Stella Jogakuin Koutou-ka C³-bu,TV,Manga,13,False,Gainax
Anata ga Furikaeru Toki,OVA,Other,1,False,
"Suteki desu wa, Sakura-chan! Tomoyo no Cardcaptor Sakura Katsuyaku Video Nikki!",Special,Manga,3,False,
Ooatari Sora no Entaku,Movie,Original,1,False,
Mai-Otome Zwei Special,Special,Original,1,False,Sunrise
Sweat Punch,OVA,Unknown,5,False,Studio 4°C
Cinnamon no Parade,ONA,Unknown,1,False,
Koihime,OVA,Visual novel,2,False,
Naked Wolves,TV,Original,52,False,
Juuni Senshi Bakuretsu Eto Ranger,TV,Original,39,False,Shaft
Kai Douryoku Real,Movie,Unknown,1,False,
Sore Ike! Anpanman: Sukue! Kokorin to Kiseki no Hoshi,Movie,Unknown,1,False,
Hunter x Hunter Movie 1: Phantom Rouge,Movie,Manga,1,False,Madhouse
Eguchi Hisashi no Kotobuki Gorou Show,OVA,Manga,4,False,Studio Pierrot
Shigeo wa Handsome,ONA,Original,1,False,
Kero Kero Keroppi no Sora wo Tobetara,OVA,Unknown,1,False,
Tejina Shi,Movie,Original,1,False,
Ichinen Buri no The Animation,OVA,Manga,1,False,
Rinne no Lagrange Season 2 Specials,Special,Original,6,False,Xebec
Hitozuma Koukan Nikki,OVA,Visual novel,2,False,
Jikkyou Chuukei,Music,Music,1,False,
M3: Sono Kuroki Hagane Recap,Special,Unknown,1,False,Satelight
Soukyuu no Fafner: Dead Aggressor - Heaven and Earth,Movie,Original,1,False,Xebec
Kenja no Mago,Unknown,Light novel,0,False,
Saimin Class,OVA,Visual novel,2,False,BreakBottle
Yasashii March: The Tender March,Music,Unknown,1,False,
Agigongryong Doolie,TV,Unknown,6,False,
Gekkan Shoujo Nozaki-kun Specials,Special,4-koma manga,6,False,Doga Kobo
Fuusen Inu Tinny 2nd Season,TV,Picture book,26,False,Steve N&#039; Steven
Kouchuu Ouja Mushiking: Greatest Champion e no Michi,Movie,Card game,1,False,TMS Entertainment
Ginga Hyouryuu Vifam: Kachua Kara no Tayori,OVA,Unknown,1,False,Sunrise
Elysium,Movie,Unknown,1,False,
Yu☆Gi☆Oh! Duel Monsters: Battle City Special,Special,Manga,1,False,
McDull: Xiang Dang Dang Ban Wo Xin,Movie,Unknown,1,False,
Can Can Bunny Extra,OVA,Visual novel,6,False,
Hi no Ame ga Furu,Movie,Unknown,1,False,Mushi Production
Inaka Nezumi to Machi Nezumi,Movie,Unknown,1,False,
Moekan The Animation,OVA,Visual novel,3,False,
Ippatsu Kanta-kun,TV,Unknown,53,False,Tatsunoko Production
Hello Kitty no Happy! Kasou Taikai,OVA,Unknown,1,False,
Detective Conan Movie 18: The Sniper from Another Dimension,Movie,Manga,1,False,TMS Entertainment
Teekyuu 2,TV,Manga,12,False,MAPPA
Ore no Imouto ga Konnani Kawaii Wake ga Nai: SD Chara ni Yoru Character Commentary,Special,Unknown,16,False,AIC Build
Tu Xia Chuanqi,Movie,Original,1,False,
Love♥Love? Specials,Special,Original,4,False,Imagin
07-Ghost,TV,Manga,25,False,Studio Deen
Captain Future: Kareinaru Taiyokei Race,Special,Unknown,1,False,
Inemuri Buu-chan,Movie,Other,1,False,
Santa Company,Movie,Original,1,False,Nexus
Zeonic Toyota Special Movie,ONA,Unknown,2,False,Sunrise
Nakoruru: Ano Hito kara no Okurimono,OVA,Game,1,False,Arms
Pokemon Housoukyoku,TV,Game,16,False,OLM
Stone Age,TV,Game,52,True,
Doraemon Movie 20: Nobita no Uchuu Hyouryuuki,Movie,Unknown,1,False,
The☆Doraemons: Mushimushi Pyonpyon Daisakusen!,Movie,Unknown,1,False,Shin-Ei Animation
D+vine Luv,OVA,Visual novel,4,False,
Ninpou Midare Karakuri,OVA,Unknown,2,False,
Otanoshimi Anime Gekijou,TV,Unknown,26,False,
Jarujio Animal,TV,Unknown,10,False,
Natsufuku no Shoujo-tachi,Special,Unknown,1,False,Madhouse
BanG Dream!: Asonjatta!,Special,Manga,1,False,Xebec
Fire Emblem,OVA,Game,2,False,Studio Fantasia
Hayabusa: Back to the Earth - Kikan,Movie,Unknown,1,False,
Dokidoki Gakuen Kessen!! Youki Daimashiro,OVA,Unknown,1,False,
Appleseed (Movie),Movie,Manga,1,False,Digital Frontier
Hong Kil-dong,Movie,Unknown,1,False,
Show By Rock!! Short!!,TV,Game,12,False,Bones
Bonobono (2016),TV,4-koma manga,0,True,Eiken
Karo to Piyobupt: Ame no Hi,Movie,Unknown,1,False,
Mesu Nochi Torare,OVA,Manga,2,False,
Alexander Senki Movie,Movie,Unknown,1,False,Madhouse
Donguri Mori e,OVA,Unknown,1,False,Toei Animation
Digimon Savers 3D: Digital World Kiki Ippatsu!,Movie,Original,1,False,Toei Animation
Poker,Music,Unknown,1,False,
Chicchana Yukitsukai Sugar Specials,Special,Original,2,False,J.C.Staff
Ai no Wakakusa Yama Monogatari,TV,Manga,12,False,Gainax
Kero Kero Keroppi no Bikkuri! Obakeyashiki,OVA,Unknown,1,False,
Doraemon Movie 34: Shin Nobita no Daimakyou - Peko to 5-nin no Tankentai,Movie,Unknown,1,False,Shin-Ei Animation
Kitsune Tsuki,Movie,Original,1,False,
Licca-chan no Nichiyoubi,OVA,Unknown,1,False,
"Shikabane Hime: Kuro – Soredemo, Hito to Shite",Special,Manga,1,False,Gainax
Lilt,ONA,Original,1,False,
Rance 01: Hikari wo Motomete The Animation - Leazas no Yami,Special,Visual novel,1,False,Seven
Rayca,OVA,Unknown,1,False,
Imouto Twins,OVA,Original,1,False,Y.O.U.C
himitsukesshatakanotsume.jp Specials,Special,Unknown,2,False,DLE
Momotaros no Natsuyasumi,Movie,Unknown,1,False,
Poron Guitar,Movie,Unknown,1,False,
Manga Doushite Monogatari OVA,OVA,Unknown,2,False,
Kaitou Tenshi Twin Angel: Kyun Kyun☆Tokimeki Paradise!!,TV,Game,12,False,J.C.Staff
Hijikata Toshizou: Shiro no Kiseki,OVA,Unknown,1,False,Studio 4°C
Dirty Pair,TV,Light novel,24,False,Sunrise
Nanocore,ONA,Original,10,False,
Manyuu Hikenchou Specials,Special,Manga,4,False,Hoods Entertainment
Ai to Shi,Special,Original,1,False,
Pandora Hearts Specials,Special,Manga,9,False,Xebec
Ra/Radio Noise*Planet,OVA,Original,1,False,
After School,ONA,Original,0,False,
Sinbad: Mahiru no Yoru to Fushigi no Mon,Movie,Original,1,False,Nippon Animation
Ze Tian Ji,ONA,Novel,13,False,Shanghai Foch Film Culture Investment
Baka to Test to Shoukanjuu: Matsuri - Sentakushi Ikou nomi,Special,Unknown,6,False,
Kero Kero Keroppi no Ganbare! Keroppooz,OVA,Unknown,1,False,
Mononoke Hime,Movie,Original,1,False,Studio Ghibli
Dennou Coil Recaps,Special,Unknown,2,False,Madhouse
Samurai Giants,TV,Unknown,46,False,Madhouse
K: Seven Stories Movie 6 - Circle Vision - Nameless Song,Movie,Original,1,False,
Mattsu to Yanma to Moburi-san 2: Suigun Otakara to Nazotoki no Shimajima,ONA,Unknown,1,False,
Tenshi ni Narumon!,TV,Original,26,False,Studio Pierrot
Strawberry Panic,TV,Other,26,False,Madhouse
Vanquished Queens Specials,Special,Other,4,False,Arms
Stone,Movie,Original,1,False,
Hakuouki Reimeiroku,TV,Visual novel,12,False,Studio Deen
Hello Kitty no Santa-san ga Futari Ita,OVA,Unknown,1,False,
Xiong Chumo Zhi: Conglin Zongdongyuan,TV,Original,104,False,
Crayon Shin-chan Movie 12: Arashi wo Yobu! Yuuhi no Kasukabe Boys,Movie,Manga,1,False,Shin-Ei Animation
Lamune,TV,Visual novel,12,False,Trinet Entertainment
Yume de Aetara (TV),TV,Manga,16,False,J.C.Staff
Konbini Kareshi,TV,Original,12,False,Studio Pierrot
Furifure The Animation,OVA,Visual novel,1,False,Office Takeout
Rakuen Tsuihou,Movie,Original,1,False,Graphinica
Sailor Fuku Shinryou Tsumaka,OVA,Visual novel,2,False,
El Cazador de la Bruja,TV,Original,26,False,Bee Train
Kaibutsu Oujo (OVA) Specials,Special,Unknown,3,False,Tatsunoko Production
Little Busters!: Refrain,TV,Visual novel,13,False,J.C.Staff
Kamiusagi Rope & Taka no Tsume Collab Eizou-hen,ONA,Original,1,False,
Ikusa Otome Valkyrie 2,OVA,Visual novel,3,False,
Aoki Ryuusei SPT Layzner OVA,OVA,Unknown,3,False,Sunrise
Metal Fight Beyblade Zero G Specials,Special,Manga,7,False,Tatsunoko Production
Nagato Yuki-chan no Shoushitsu: Owarenai Natsuyasumi,OVA,Manga,1,False,Satelight
Gantz,TV,Manga,13,False,Gonzo
Kyuukyoku Choujin R,OVA,Unknown,1,False,
Yoshinaga-san&#039;chi no Gargoyle,TV,Unknown,13,False,Studio Hibari
Xian Yue Meng Ying,OVA,Original,1,False,
Buzzer Beater 2nd Season,TV,Web manga,13,False,TMS Entertainment
Gun x Sword-san,Special,Unknown,13,False,AIC A.S.T.A.
Bakegyamon,TV,Manga,51,False,Radix
Eightman,TV,Manga,56,False,Nippon Animation
Dirty Pair Flash 2,OVA,Light novel,5,False,Sunrise
Mori no Densetsu: Dai Ni Gakushou,Movie,Original,1,False,Tezuka Productions
Zenmaiji-kake no Truffe,ONA,Original,2,False,
Seitokaichou Hikaru,OVA,Visual novel,1,False,
Time Bokan Series: Zenderman,TV,Unknown,52,False,Tatsunoko Production
Cinderella Girls Gekijou: Kayou Cinderella Theater 3rd Season,ONA,4-koma manga,0,False,Gathering
Vatican Kiseki Chousakan OVA,OVA,Novel,1,False,
Sinbad: Mahou no Lamp to Ugoku Shima,Movie,Original,1,False,Nippon Animation
Domo-kun,TV,Original,37,False,dwarf
Planetarian: Hoshi no Hito,Movie,Visual novel,1,False,David Production
Teizokurei Daydream,OVA,Manga,4,False,Hal Film Maker
Comet Lucifer,TV,Original,12,False,8bit
Pokemon: Maboroshi no Pokemon Lugia Bakutan,Movie,Game,1,False,OLM
Dragon Ball Z Movie 10: Kiken na Futari! Super Senshi wa Nemurenai,Movie,Manga,1,False,Toei Animation
Sekai no Yami Zukan,TV,Original,13,False,ILCA
Shiodome Cable TV,TV,Unknown,22,False,DLE
Watashi no Naka no Gensou-teki Sekaikan Oyobi Sono Kengen wo Souki Saseta Aru Genjitsu de no Dekigot,Music,Original,1,False,
Fruits 5 Shimai,Music,Original,1,False,Shirogumi
Yeongsimi,TV,Unknown,13,False,
Ragnastrike Angels,TV,Game,12,False,Satelight
Good Morning Call,OVA,Manga,1,False,Production I.G
Ookami Heart,Music,Original,2,False,
Minamo,Movie,Unknown,1,False,
Video Ehonkan Sekai Meisaku Douwa,OVA,Unknown,26,False,
Riding Bean,OVA,Manga,1,False,AIC
Niizuma Koyomi The Animation,OVA,Visual novel,0,False,
Ladies versus Butlers!,TV,Light novel,12,False,Xebec
Kuma Miko,TV,Manga,12,False,Kinema Citrus
Dragon Quest: Dai no Daibouken,TV,Manga,46,False,Toei Animation
Tonari no Oneesan,OVA,Visual novel,2,False,
One Piece: Mezase! Kaizoku Yakyuu Ou,Movie,Manga,1,False,Toei Animation
Shoko Nakagawa Prism Tour Special,Special,Unknown,1,False,Sunrise
Gambo,Movie,Original,1,False,Sunrise
Toradora!: SOS!,Special,Unknown,4,False,J.C.Staff
Masuda Kousuke Gekijou Gag Manga Biyori 3,TV,Manga,12,False,Studio Deen
Keitai Shoujo,ONA,Visual novel,6,False,Studio Hibari
Koisuru Shirokuma,Movie,Manga,0,True,Gathering
Dimension W: W no Tobira Online,Special,Manga,5,False,Studio 3Hz
El Hazard: The Magnificent World,OVA,Original,7,False,AIC
Norasco: Cinema Point Card-hen,Movie,Original,10,False,Kachidoki Studio
Shikkoku no Shaga The Animation,OVA,Original,0,True,Seven
Blind Night,OVA,Unknown,3,False,
Bishoujo Senshi Sailor Moon Memorial,OVA,Manga,5,False,Toei Animation
Koisuru Tenshi Angelique: Kagayaki no Ashita,TV,Game,12,False,Satelight
Shakugan no Shana III (Final),TV,Light novel,24,False,J.C.Staff
Huyao Xiao Hongniang,ONA,Manga,13,False,Haoliners Animation League
Issunboushi,Movie,Original,1,False,
Okore!! Nonkuro,Special,Unknown,1,False,
Megazone 23,OVA,Original,4,False,Artland
Koukyoushihen: Eureka Seven - Hi-Evolution 2,Movie,Original,1,False,Bones
Grand Blue,TV,Manga,0,False,Zero-G
High School Fleet Movie,Movie,Original,1,False,
Macross F Music Clip Shuu: Nyankuri,Music,Original,1,False,Satelight
Sumiko no Egao,Music,Original,1,False,
Grappler Baki: Saidai Tournament-hen,TV,Manga,24,False,Group TAC
Attack No.1: Namida no Sekai Senshuken,Movie,Unknown,1,False,
Pururun! Shizuku-chan Aha,TV,Manga,51,False,TMS Entertainment
Chu^2,OVA,Unknown,1,False,
Minna Agechau♡,OVA,Unknown,1,False,J.C.Staff
Kyuuketsuhime Miyu (TV),TV,Manga,26,False,AIC
Bondage Game: Shinsou no Reijoutachi - Shinsou no Doreitachi,Special,Visual novel,1,False,
Ecchies,OVA,Unknown,2,False,
Heart Cocktail,TV,Unknown,77,False,
Sore Ike! Anpanman: Anpanman to Happy Otanjoubi,Movie,Unknown,1,False,
Wo Shi Na Zha,Movie,Unknown,1,False,
Koro-sensei Q!,Movie,Manga,1,False,Lerche
Macross Δ Movie: Gekijou no Walküre,Movie,Original,1,False,
Komori-san wa Kotowarenai!,TV,4-koma manga,12,False,Artland
Saikyou Bushouden: Sangoku Engi,TV,Novel,52,False,Future Planet
Ranma ½: Battle ga Ippai 29-nin no Korinai Yatsura,OVA,Unknown,1,False,
Planetes,TV,Manga,26,False,Sunrise
Nekota no Koto ga Kininatte Shikatanai. (ONA),ONA,Manga,4,False,
"Kono Danshi, Sekika ni Nayandemasu.",OVA,Original,1,False,CoMix Wave Films
Mimi wo Sumaseba,Movie,Manga,1,False,Studio Ghibli
Zoids Wild,TV,Unknown,0,False,
Geori-eui Mubeopja,Movie,Unknown,1,False,
Hatsukoi Limited.: Gentei Shoujo,Special,Manga,6,False,J.C.Staff
Esper Mami,TV,Manga,119,False,Shin-Ei Animation
Neko no Sumu Shima,Special,Unknown,1,False,
Zombie Ehon,ONA,Unknown,1,False,
One Piece: Straw Hat Theater,Special,Manga,5,False,Toei Animation
Sugar Bunnies Fleur,TV,Unknown,26,False,Asahi Production
Next Senki Ehrgeiz,TV,Original,12,False,Studio Deen
Ichiban Ushiro no Daimaou Specials,Special,Unknown,6,False,Artland
Ninja Slayer From Animation,ONA,Novel,26,False,Trigger
Battle Spirits: Sword Eyes Gekitouden,TV,Card game,21,False,Sunrise
Fireball Charming,TV,Unknown,13,False,Jinnis Animation Studios
Futakoi Alternative,TV,Original,13,False,ufotable
Persona 3 the Movie 1: Spring of Birth,Movie,Game,1,False,AIC A.S.T.A.
Sacred Seven: Shirogane no Tsubasa,Movie,Unknown,1,False,Sunrise
Petting a Dog,ONA,Unknown,1,False,
Tsuki no Sango,Movie,Other,1,False,ufotable
Ys: Tenkuu no Shinden - Adol Christine no Bouken,OVA,Unknown,4,False,
Classical Sex-Zone,OVA,Unknown,3,False,
Slayers Return,Movie,Light novel,1,False,J.C.Staff
Campus,OVA,Visual novel,2,False,
"Hope: Suiso Shakai to, Korekara no Energy no Hanashi",ONA,Original,1,False,
Cencoroll,Movie,Original,1,False,Think Corporation
Zettai Karen Children,TV,Manga,51,False,SynergySP
Mousou Kagaku Series: Wandaba Style,TV,Unknown,12,False,TNK
Atelier Petros Joukuu Gekijou: Sentaku Shima no Sentaku Tori,ONA,Original,1,False,
Hen Xi You,ONA,Web manga,20,False,Vasoon Animation
Soukou Kihei Votoms: Vol.2 Highlights of the &#039;A.T. Votoms&#039;,OVA,Unknown,1,False,Sunrise
Norasco Specials,Special,Original,6,False,Kachidoki Studio
Lostorage Incited WIXOSS,TV,Card game,12,False,J.C.Staff
Zero no Mono,OVA,Manga,1,False,
Top wo Nerae! Gunbuster Specials,Special,Original,3,False,Gainax
Nezha Nao Hai,Movie,Novel,1,False,
Tansa Quest!,ONA,Game,1,False,A-1 Pictures
Manga Jinbutsushi,TV,Unknown,365,False,
Gokukoku no Brynhildr Special,Special,Manga,1,False,Arms
Kinnikuman II Sei,TV,Manga,51,False,Toei Animation
Yatterman x Toshiba,Special,Unknown,1,False,
Guskou Budori no Denki (2012),Movie,Novel,1,False,Tezuka Productions
"Go! Go! 575: Meippai ni, Hajiketeru?",Special,Game,1,False,Lay-duce
Transformers Headmasters,TV,Unknown,35,False,Toei Animation
Doubutsu Dai Yakyuu Sen,Movie,Original,1,False,
Kyoro-chan no Koutsuu Anzen,OVA,Other,1,False,
Stitch! Perfect Memory,Special,Unknown,1,False,Shin-Ei Animation
Lily to Kaeru to (Otouto),Special,Original,1,False,Toei Animation
Crayon Shin-chan Movie 08: Arashi wo Yobu Jungle,Movie,Manga,1,False,Shin-Ei Animation
Shima Shima Tora no Shimajirou,TV,Original,726,False,
B-Project: Kodou*Ambitious,TV,Music,12,False,A-1 Pictures
Carnival Phantasm: HibiChika Special,Special,Unknown,1,False,Lerche
Bakuretsu Tenshi: Infinity Special,Special,Original,1,False,Gonzo
Kindan no Mokushiroku: Crystal Triangle,OVA,Original,1,False,
Lupin III (2015),TV,Original,24,False,TMS Entertainment
Dirty Pair: Lovely Angels yori Ai wo Komete,OVA,Light novel,2,False,Sunrise
Inu x Boku SS Special,Special,Manga,1,False,David Production
Mahou Sensei Negima! Shiroki Tsubasa Ala Alba,OVA,Manga,3,False,Shaft
Lupin III: Alcatraz Connection,Special,Manga,1,False,TMS Entertainment
Allargando The Animation,OVA,Manga,1,False,
Aria The OVA: Arietta,OVA,Manga,1,False,Hal Film Maker
Kaitou Joker,TV,Manga,13,False,Shin-Ei Animation
Green Green,TV,Visual novel,12,False,Studio Matrix
Mini Sengoku Basara: Chousokabe-kun to Mouri-kun,Special,Unknown,7,False,Production I.G
Ghost Sweeper GS Mikami,TV,Manga,45,False,Toei Animation
